Sentence,Query Execution Time (ms)
The cat jumped over the lazy dog.,250
Today is a beautiful day.,180
I love to travel and explore new places.,320
Coffee is my favorite drink in the morning.,150
The sun sets in the west.,200
Happiness is a choice.,280
Music soothes the soul.,210
Learning never exhausts the mind.,270
Life is what happens when you're busy making other plans.,230
Laughter is the best medicine.,190
The early bird catches the worm.,260
Time flies when you're having fun.,170
Be yourself; everyone else is already taken.,300
It's never too late to start something new.,220
Dreams are illustrations from the book your soul is writing.,290
"Life is a journey, not a destination.",240
Everything happens for a reason.,310
Challenges are what make life interesting.,270
"Success is not final, failure is not fatal: It is the courage to continue that counts.",320
"You only live once, but if you do it right, once is enough.",180
The only way to do great work is to love what you do.,250
Believe you can and you're halfway there.,290
"Life is really simple, but we insist on making it complicated.",230
"Don't count the days, make the days count.",210
Change your thoughts and you change your world.,160
"In the end, we only regret the chances we didn't take.",280
Live as if you were to die tomorrow.,170
Be the change that you wish to see in the world.,300
The best time to plant a tree was 20 years ago. The second best time is now.,220
It does not matter how slowly you go as long as you do not stop.,330
Believe you can and you're halfway there.,250
Keep your face always toward the sunshine - and shadows will fall behind you.,190
Life is 10% what happens to us and 90% how we react to it.,270
The only limit to our realization of tomorrow will be our doubts of today.,300
Don't watch the clock; do what it does. Keep going.,260
"It's not whether you get knocked down, it's whether you get up.",180
"Your time is limited, don't waste it living someone else's life.",230
Be yourself; everyone else is already taken.,320
"I have not failed. I've just found 10,000 ways that won't work.",210
"If you want to lift yourself up, lift up someone else.",290
You miss 100% of the shots you don't take.,150
It always seems impossible until it is done.,170
You are never too old to set another goal or to dream a new dream.,270
The future belongs to those who believe in the beauty of their dreams.,220
You have to expect things of yourself before you can do them.,260
"When you reach the end of your rope, tie a knot in it and hang on.",180
The only way to do great work is to love what you do.,240
Be kind whenever possible. It is always possible.,190
"Strive not to be a success, but rather to be of value.",310
The journey of a thousand miles begins with one step.,280
"It is our choices that show what we truly are, far more than our abilities.",330
The best revenge is massive success.,300
The only thing we have to fear is fear itself.,160
"Don't cry because it's over, smile because it happened.",250
"Life is about making an impact, not making an income.",220
"Nothing is impossible, the word itself says 'I'm possible'!",270
"Life is like riding a bicycle. To keep your balance, you must keep moving.",230
Be yourself; everyone else is already taken.,300
The only way to do great work is to love what you do.,270
In three words I can sum up everything I've learned about life: it goes on.,190
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,320
"If you tell the truth, you don't have to remember anything.",180
"I have not failed. I've just found 10,000 ways that won't work.",210
A friend is someone who knows all about you and still loves you.,280
Darkness cannot drive out darkness: only light can do that.,250
"Success is not final, failure is not fatal: It is the courage to continue that counts.",260
There is no greater agony than bearing an untold story inside you.,270
"The greatest glory in living lies not in never falling, but in rising every time we fall.",320
"In the end, we will remember not the words of our enemies, but the silence of our friends.",240
The only limit to our realization of tomorrow will be our doubts of today.,300
It is better to be hated for what you are than to be loved for what you are not.,200
Life isn't about finding yourself. Life is about creating yourself.,310
"To live is the rarest thing in the world. Most people exist, that is all.",220
Sometimes the heart sees what is invisible to the eye.,330
The only thing necessary for the triumph of evil is for good men to do nothing.,170
Keep your face always toward the sunshine - and shadows will fall behind you.,260
A room without books is like a body without a soul.,210
"You don't have to be great to start, but you have to start to be great.",280
It is never too late to be what you might have been.,240
"You have power over your mind - not outside events. Realize this, and you will find strength.",320
Believe you can and you're halfway there.,300
It does not matter how slowly you go as long as you do not stop.,170
The purpose of our lives is to be happy.,330
Be the change that you wish to see in the world.,190
I am not a product of my circumstances. I am a product of my decisions.,280
We may encounter many defeats but we must not be defeated.,250
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,310
It takes courage to grow up and become who you really are.,230
"It is our choices that show what we truly are, far more than our abilities.",290
Our lives begin to end the day we become silent about things that matter.,180
Love the life you live. Live the life you love.,300
The only way to predict the future is to create it.,220
"The greatest glory in living lies not in never falling, but in rising every time we fall.",280
"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",310
Many of life's failures are people who did not realize how close they were to success when they gave up.,240
"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.",320
Life is 10% what happens to us and 90% how we react to it.,190
The only thing we have to fear is fear itself.,280
"If you want to lift yourself up, lift up someone else.",230
"Do not go where the path may lead, go instead where there is no path and leave a trail.",260
Life is either a daring adventure or nothing at all.,270
You miss 100% of the shots you don't take.,180
It always seems impossible until it is done.,250
Believe you can and you're halfway there.,290
Keep your face always toward the sunshine - and shadows will fall behind you.,170
Life is 10% what happens to us and 90% how we react to it.,310
The future belongs to those who believe in the beauty of their dreams.,230
You have to expect things of yourself before you can do them.,300
"When you reach the end of your rope, tie a knot in it and hang on.",190
The only way to do great work is to love what you do.,270
Be kind whenever possible. It is always possible.,330
"Strive not to be a success, but rather to be of value.",200
The journey of a thousand miles begins with one step.,320
"It is our choices that show what we truly are, far more than our abilities.",280
The best revenge is massive success.,210
The only thing we have to fear is fear itself.,280
"Don't cry because it's over, smile because it happened.",220
"Life is about making an impact, not making an income.",300
"Nothing is impossible, the word itself says 'I'm possible'!",170
"In the end, we only regret the chances we didn't take.",250
Life isn't about finding yourself. Life is about creating yourself.,310
"To live is the rarest thing in the world. Most people exist, that is all.",230
Sometimes the heart sees what is invisible to the eye.,330
The only thing necessary for the triumph of evil is for good men to do nothing.,190
Keep your face always toward the sunshine - and shadows will fall behind you.,260
Believe you can and you're halfway there.,240
The future belongs to those who believe in the beauty of their dreams.,280
Happiness is not something ready-made. It comes from your own actions.,310
"Success is not final, failure is not fatal: It is the courage to continue that counts.",270
The only way to do great work is to love what you do.,290
In the middle of difficulty lies opportunity.,250
"Happiness is not by chance, but by choice.",320
Every accomplishment starts with the decision to try.,300
"The greatest glory in living lies not in never falling, but in rising every time we fall.",330
The journey of a thousand miles begins with one step.,260
The only limit to our realization of tomorrow will be our doubts of today.,380
Don't watch the clock; do what it does. Keep going.,340
It does not matter how slowly you go as long as you do not stop.,360
The only way to predict the future is to create it.,390
Be yourself; everyone else is already taken.,440
The greatest pleasure in life is doing what people say you cannot do.,460
You miss 100% of the shots you don't take.,470
The only person you should try to be better than is the person you were yesterday.,490
The only way to do great work is to love what you do.,500
The two most important days in your life are the day you are born and the day you find out why.,520
Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do.,540
You become what you believe.,560
The only person who never makes mistakes is the person who never tries anything new.,570
We may encounter many defeats but we must not be defeated.,580
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,590
"We do not need magic to change the world, we carry all the power we need inside ourselves already.",610
"In the end, it's not the years in your life that count. It's the life in your years.",630
The only place where success comes before work is in the dictionary.,650
The best time to plant a tree was 20 years ago. The second best time is now.,660
Everything you can imagine is real.,670
Nothing will work unless you do.,690
The secret of getting ahead is getting started.,710
"Whatever you are, be a good one.",720
The only true wisdom is in knowing you know nothing.,730
The only failure is not to try.,740
"If you want to achieve greatness, stop asking for permission.",750
Dream big and dare to fail.,760
"To live a creative life, we must lose our fear of being wrong.",770
A journey of a thousand miles begins with a single step.,780
